[7440] 2014/09/18 09:48:13.156 API InitInstance 
[7440] 2014/09/18 09:48:18.921 SKQuoteLib_Initialize ¡GS122811334
[7440] 2014/09/18 09:48:18.921 SKQuoteLib_Initialize ¡Ghttps://order2.capital.com.tw/
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_Initialize  SUCCESS 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttachConnectionCallBack 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttachQuoteCallBack 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttachBest5CallBack 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttachTicksGetCallBack 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttachKLineDataCallBack 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttachMarketTotCallBack 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttachMarketBuySellCallBack 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttachMarketHighLowCallBack 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttachStrikePricesCallBack 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttchServerTimeCallBack 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttachHistoryTicksGetCallBack 
[7440] 2014/09/18 09:48:19.578 SKQuoteLib_AttachProductsReadyCallBack 
[7440] 2014/09/18 09:48:19.593 SKQuoteLib_EnterMonitor IP¡Ginfo8.capital.com.tw
[7440] 2014/09/18 09:48:19.593 SocketConnect Type¡G100  ErrorCode¡G0
[7440] 2014/09/18 09:48:41.109 Stocks Ready
[7440] 2014/09/18 09:48:41.531 SKQuoteLib_GetKLine(TX00,4)
[7440] 2014/09/18 09:48:41.531 SKQuoteLib_GetDate(TX00,4)
[7440] 2014/09/18 09:48:42.343 SKQuoteLib_GetKLine(TX00,1)
[7440] 2014/09/18 09:48:43.234 SKQuoteLib_RequestTicks (1,TX00)
[7440] 2014/09/18 09:49:19.593 Check Link Status 
[7440] 2014/09/18 09:50:19.593 Check Link Status 
[7440] 2014/09/18 09:51:19.593 Check Link Status 
[7440] 2014/09/18 09:52:19.593 Check Link Status 
[7440] 2014/09/18 09:53:19.593 Check Link Status 
[7440] 2014/09/18 09:54:19.593 Check Link Status 
[7440] 2014/09/18 09:55:19.593 Check Link Status 
[7440] 2014/09/18 09:56:19.593 Check Link Status 
[7440] 2014/09/18 09:57:19.593 Check Link Status 
[7440] 2014/09/18 09:58:19.593 Check Link Status 
[7440] 2014/09/18 09:59:19.593 Check Link Status 
[7440] 2014/09/18 10:00:19.593 Check Link Status 
[7440] 2014/09/18 10:01:19.593 Check Link Status 
[7440] 2014/09/18 10:02:19.593 Check Link Status 
[7440] 2014/09/18 10:03:19.593 Check Link Status 
[7440] 2014/09/18 10:04:19.593 Check Link Status 
[7440] 2014/09/18 10:05:19.593 Check Link Status 
[7440] 2014/09/18 10:06:19.593 Check Link Status 
[7440] 2014/09/18 10:07:19.593 Check Link Status 
[7440] 2014/09/18 10:08:19.593 Check Link Status 
[7440] 2014/09/18 10:09:19.593 Check Link Status 
[7440] 2014/09/18 10:10:19.593 Check Link Status 
[7440] 2014/09/18 10:11:19.593 Check Link Status 
[7440] 2014/09/18 10:12:19.593 Check Link Status 
[7440] 2014/09/18 10:13:19.593 Check Link Status 
[7440] 2014/09/18 10:14:19.593 Check Link Status 
[7440] 2014/09/18 10:15:19.593 Check Link Status 
[7440] 2014/09/18 10:16:19.593 Check Link Status 
[7440] 2014/09/18 10:17:19.593 Check Link Status 
[7440] 2014/09/18 10:18:19.593 Check Link Status 
[7440] 2014/09/18 10:19:19.593 Check Link Status 
[7440] 2014/09/18 10:20:19.593 Check Link Status 
[7440] 2014/09/18 10:21:19.593 Check Link Status 
[7440] 2014/09/18 10:22:19.593 Check Link Status 
[7440] 2014/09/18 10:23:19.593 Check Link Status 
[7440] 2014/09/18 10:24:19.593 Check Link Status 
[7440] 2014/09/18 10:25:19.593 Check Link Status 
[7440] 2014/09/18 10:26:19.593 Check Link Status 
[7440] 2014/09/18 10:27:19.593 Check Link Status 
[7440] 2014/09/18 10:28:19.593 Check Link Status 
[7440] 2014/09/18 10:29:19.593 Check Link Status 
[7440] 2014/09/18 10:30:19.593 Check Link Status 
[7440] 2014/09/18 10:31:19.593 Check Link Status 
[7440] 2014/09/18 10:32:19.593 Check Link Status 
[7440] 2014/09/18 10:33:19.593 Check Link Status 
[7440] 2014/09/18 10:34:19.593 Check Link Status 
[7440] 2014/09/18 10:35:19.593 Check Link Status 
[7440] 2014/09/18 10:36:19.593 Check Link Status 
[7440] 2014/09/18 10:37:19.593 Check Link Status 
[7440] 2014/09/18 10:38:19.593 Check Link Status 
[7440] 2014/09/18 10:39:19.593 Check Link Status 
[7440] 2014/09/18 10:40:19.593 Check Link Status 
[7440] 2014/09/18 10:41:19.593 Check Link Status 
[7440] 2014/09/18 10:42:19.593 Check Link Status 
[7440] 2014/09/18 10:43:19.593 Check Link Status 
[7440] 2014/09/18 10:44:19.593 Check Link Status 
[7440] 2014/09/18 10:45:19.593 Check Link Status 
[7440] 2014/09/18 10:46:19.593 Check Link Status 
[7440] 2014/09/18 10:47:19.593 Check Link Status 
[7440] 2014/09/18 10:48:19.593 Check Link Status 
[7440] 2014/09/18 10:49:19.593 Check Link Status 
[7440] 2014/09/18 10:50:19.593 Check Link Status 
[7440] 2014/09/18 10:51:19.593 Check Link Status 
[7440] 2014/09/18 10:52:19.593 Check Link Status 
[7440] 2014/09/18 10:53:19.593 Check Link Status 
[7440] 2014/09/18 10:54:19.593 Check Link Status 
[7440] 2014/09/18 10:55:19.593 Check Link Status 
[7440] 2014/09/18 10:56:19.593 Check Link Status 
[7440] 2014/09/18 10:57:19.593 Check Link Status 
[7440] 2014/09/18 10:58:19.593 Check Link Status 
[7440] 2014/09/18 10:59:19.593 Check Link Status 
[7440] 2014/09/18 11:00:19.593 Check Link Status 
[7440] 2014/09/18 11:01:19.593 Check Link Status 
[7440] 2014/09/18 11:02:19.593 Check Link Status 
[7440] 2014/09/18 11:03:19.593 Check Link Status 
[7440] 2014/09/18 11:04:19.593 Check Link Status 
[7440] 2014/09/18 11:05:19.593 Check Link Status 
[7440] 2014/09/18 11:06:19.593 Check Link Status 
[7440] 2014/09/18 11:07:19.593 Check Link Status 
[7440] 2014/09/18 11:08:19.593 Check Link Status 
[7440] 2014/09/18 11:09:19.593 Check Link Status 
[7440] 2014/09/18 11:10:19.593 Check Link Status 
[7440] 2014/09/18 11:11:19.593 Check Link Status 
[7440] 2014/09/18 11:12:19.593 Check Link Status 
[7440] 2014/09/18 11:13:19.593 Check Link Status 
[7440] 2014/09/18 11:14:19.593 Check Link Status 
[7440] 2014/09/18 11:15:19.593 Check Link Status 
[7440] 2014/09/18 11:16:19.593 Check Link Status 
[7440] 2014/09/18 11:17:19.593 Check Link Status 
[7440] 2014/09/18 11:18:19.593 Check Link Status 
[7440] 2014/09/18 11:19:19.593 Check Link Status 
[7440] 2014/09/18 11:20:19.593 Check Link Status 
[7440] 2014/09/18 11:21:19.593 Check Link Status 
[7440] 2014/09/18 11:22:19.593 Check Link Status 
[7440] 2014/09/18 11:23:19.593 Check Link Status 
[7440] 2014/09/18 11:24:19.593 Check Link Status 
