[6240] 2014/08/28 09:51:17.203 API InitInstance 
[6240] 2014/08/28 09:51:22.781 SKQuoteLib_Initialize ¡GS122811334
[6240] 2014/08/28 09:51:22.781 SKQuoteLib_Initialize ¡Ghttps://order2.capital.com.tw/
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_Initialize  SUCCESS 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttachConnectionCallBack 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttachQuoteCallBack 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttachBest5CallBack 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttachTicksGetCallBack 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttachKLineDataCallBack 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttachMarketTotCallBack 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttachMarketBuySellCallBack 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttachMarketHighLowCallBack 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttachStrikePricesCallBack 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttchServerTimeCallBack 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttachHistoryTicksGetCallBack 
[6240] 2014/08/28 09:51:23.859 SKQuoteLib_AttachProductsReadyCallBack 
[6240] 2014/08/28 09:51:25.281 SKQuoteLib_EnterMonitor IP¡Ginfo10.capital.com.tw
[6240] 2014/08/28 11:15:25.281 Check Link Status 
[6240] 2014/08/28 11:16:25.281 Check Link Status 
[6240] 2014/08/28 11:17:25.281 Check Link Status 
[6240] 2014/08/28 11:18:25.281 Check Link Status 
[6240] 2014/08/28 11:19:25.281 Check Link Status 
[6240] 2014/08/28 11:20:25.281 Check Link Status 
[6240] 2014/08/28 11:21:25.281 Check Link Status 
[6240] 2014/08/28 11:22:25.281 Check Link Status 
[6240] 2014/08/28 11:23:25.281 Check Link Status 
[6240] 2014/08/28 11:24:25.281 Check Link Status 
[6240] 2014/08/28 11:25:25.281 Check Link Status 
[6240] 2014/08/28 11:26:25.281 Check Link Status 
[6240] 2014/08/28 11:27:25.281 Check Link Status 
[6240] 2014/08/28 11:28:25.281 Check Link Status 
[6240] 2014/08/28 11:29:25.281 Check Link Status 
[6240] 2014/08/28 11:30:25.281 Check Link Status 
[6240] 2014/08/28 11:31:25.281 Check Link Status 
[6240] 2014/08/28 11:32:25.281 Check Link Status 
[6240] 2014/08/28 11:33:25.281 Check Link Status 
[6240] 2014/08/28 11:34:25.281 Check Link Status 
[6240] 2014/08/28 11:35:25.281 Check Link Status 
[6240] 2014/08/28 11:36:25.281 Check Link Status 
[6240] 2014/08/28 11:37:25.281 Check Link Status 
[6240] 2014/08/28 11:38:25.281 Check Link Status 
[6240] 2014/08/28 11:39:25.281 Check Link Status 
[6240] 2014/08/28 11:40:25.281 Check Link Status 
[6240] 2014/08/28 11:41:25.281 Check Link Status 
[6240] 2014/08/28 11:42:25.281 Check Link Status 
[6240] 2014/08/28 11:43:25.281 Check Link Status 
[6240] 2014/08/28 11:44:25.281 Check Link Status 
[6240] 2014/08/28 11:45:25.281 Check Link Status 
[6240] 2014/08/28 11:46:25.281 Check Link Status 
[6240] 2014/08/28 11:47:25.281 Check Link Status 
[6240] 2014/08/28 11:48:25.281 Check Link Status 
[6240] 2014/08/28 11:49:25.281 Check Link Status 
[6240] 2014/08/28 11:50:25.281 Check Link Status 
[6240] 2014/08/28 11:51:25.281 Check Link Status 
[6240] 2014/08/28 11:52:25.281 Check Link Status 
[6240] 2014/08/28 11:52:26.625 SKQuoteLib_LeaveMonitor 
[6240] 2014/08/28 11:52:26.625 SocketClose Type¡G101  ErrorCode¡G0
[6240] 2014/08/28 11:52:26.718 API ExitInstance 
